Model,Accuracy
svm_tfidf,0.9492788461538462
logistic_regression_count,0.9408653846153846
logistic_regression_tfidf,0.9384615384615385
random_forest_count,0.9379807692307692
random_forest_tfidf,0.9360576923076923
svm_count,0.9314903846153846
naive_bayes_tfidf,0.8891826923076923
naive_bayes_count,0.8793269230769231
knn_count,0.7901442307692308
knn_tfidf,0.6459134615384615
